en,zh
causation algorithm,原因分析算法
CBG,客户企业组织
cell phone handset,蜂窝电话/移动电话
censorship resistance,抗审查/防审查
center of excellence,卓越中心
central authority,系统中心/核心
Central Florida Educators’ Federal Credit Union,中部佛罗里达教师联邦信用合作社
certificate-policies-extension,证书策略扩展
chain emails,连锁邮件
Challenge,其挑战性
change their variance from that of Bitcoin,影响到它们与bitcoin观点/态度之间的差异
changing the oil,更换机油
charge it to your room,FYI
Charge Out,借出
chart labels,病历/病历卡标签
chasing a 419 scheme,追逐419发财美梦
check-in authorization,办理登机手续的授权
chief evangelist and Microsoft Partnership,首席宣传官兼微软合作伙伴项目主管
chief operations officer and president of telematics,后者
chief thermal architect,首席散热架构师
child location,子位置
child tree node  -> 子（树）节点,子树节点
chip scaling,芯片尺寸的继续缩小
chop up for recycling,拆散回收利用
chose not to initially implement,选择一开始不使用
chrominance,色度
chuck; “how much wood a woodchuck would chuck if a woodchuck could chuck wood”,扔; “土拨鼠能拨多少土如果土拨鼠能拨土”
"churn, excitement, hyperbole",动荡、兴奋、夸大和技术进步
CIS,影像傳感器
class disk device,同一类磁盘设备
clear,畅通无阻
clear braces,透明牙齿矫正器
client engagement processes,客户参与/互动流程
client engineering,客户工程部
clinic,诊所
clock-stopping hot,炙手可热/非常热门
closely developed,开发过程中密切合作
cloud computing aggregators,云计算聚合商
cloud developing,还有很大的发展空间
clustered-storage derived namespaces,集群存储提供的命名空间
clusters,聚类
co-location,主机代管
code guard,编码屏蔽器
CoDeSys runtime,CoDeSys运行系统
collapsed,紧缩
collapsed stacks,集成/整合式架构
collision repair shop,汽车修理店
communicate,表述/描述
communicate the benefits,分享
communication is leadership,沟通即领导力
communications,通信
"communicator (QQ, MSN, Skype)",即时通信工具
Communities are self-defining,社区是自发形成的
community priority,社区优先事项
compact flash,标准闪存卡/CF 卡
color of monitor white,监视器/显示器白点色彩
combo phone,组合式电话
come a long way,有了长足的发展
come calling,面世/推出
come-ons,招徕策略（或手段；广告；手法）
coming back,常客/回头客/频频光顾
coming down the pipe,即将推出（面世）的
Coming out of a disastrous recession,走出灾难性的经济衰退后
coming out of your ears,having too many/much
command communications,指令传输
comment denoter,注释符
commercially definable,从商业角度定义的
commercially distributed,市售/市场上有售的
commit,提交
commodity economics,大众化商品经济
COMMON PERFORMANCE FEATURES,普通/共同性能特点
Common Public License,普通公众许可证
communicate,表达
companies can't ask for more than they need,公司不能提出不合理的需求
Companies shouldn't assume or depend on keeping the data secure,公司不应想当然地认为....里面的数据一定是安全可靠的
compensating for,抵消
competition occurring,端到端解决方案存在的竞争
competitive matrices,竞争矩阵图
completes the capital expenditure request,填写资本支出申请单
compliant,符合...标准的
complimentary products,配套产品
component devices,组件设备
compounding,混合
compute-to-data ratios,计算量/数据量之比
con’t,续
conceptualised,看待
concurrency and coordination runtime,并发与协调运行时
Concurrent access with a parity drive,奇偶驱动器的并行访问
conditional constructs,条件结构
connect nowhere except to the corporate network,只能连接公司网络
connect the dots,连接结点
connect the dots,把...和...连起来
connection brokering,连接代理
consistent handling of cross-cutting concerns,横切关注点
constitutionality,合宪性
consumer security outreach,客户安全服务
containing the pristine kernel at point A,在A处载入原始内核
containment cubes,隔离箱（舱）
contains the data or ‘split’ that the task has as a dependency,特定计算任务，与某些数据或“数据分片”具有依赖性关系
content owner,内容负责人
Context Awareness,环境感知
contingencies,偶然事件(事故)/突发事件(事故)
continual goods,可分割商品/连续商品
contoured,弯曲的/呈曲线的
Contract Sequencing Service Providers,合同测序服务提供商
contract software development paradigm,签约软件开发模式
contractor,承包商
Control Language Overrides,控制语言重载
control plane software,控制面板软件
converged devices,整合式设备
Convergence Software,整合软件
coolest,最漂亮
corner the market,垄断市场
corporate entity,整个公司
correcting for,修正
correction of single-bit memory errors,单位内存纠错
cost-effective,经济的
couldn't care less about that,这对其余的diskpart命令没有影响
court proceedings,法院诉讼程序（行为）
courtesy,出品/蒙...提供
cover art downloading,（专辑）封面下载
cover fold-out sections,折叠式保护套
CPA,注册会计师
CPU complex,CPU复合体
crack,动摇
crank things up,调高音量
crash-and-burn,测试机
create a context for,创建一个环境/场境
Create a Group and Users to Secondary Group.,创建一个用户组，把两个用户加入这个刚创建的次要组。
create a provision their own applications,部署/设置自己的应用程序
create maps between,勾勒出。。。之间的关系
creative software,创意软件
Credit Application,信貸申請
credit card kiosks,信用卡终端机
cross-cutting concerns,横切关注点
cross-pollinates,交义移植應用
cross-truck direction,宽度为卡车横向宽度
crowbar remediation,急剧短路（电路）矫正法
CRUD,增、删、改、查
CSR,企业社会责任
cubbyhole,勉强界定
cue the angry cries and shaking of fists,有人该挥舞着拳头大声疾呼了，有人该不同意了
cumulative sense,综合看法
curated,经过精选的
curmudgeon,老古董
currency,更新状况
cursory programs,粗糙的程序
customer engagements,客户互动
customer-approval ratings,客户满意度
customers to track billing with their clients,用户可以在客户端查询帐单（货运单）
cut off,脱节？
cut them off at the knees,不让他们得逞
cut through like a hot knife through butter,游刄有余
cut-out window,透视窗口
cutting and pasting from Google's documentation,从谷歌的说明文档把代码剪切粘贴过来
Cyber-Security Policy & Research Institute,网络安全政策研究所
cyber-threat,网络威胁
缺席仲裁,arbitrate by default
daily utility,日常实用
data carving/file carving,数据雕刻/文件雕刻
data co-ops,数据合作性质的（公司/服务）
data feeds,提供的数据
Data Resilience,数据弹性/韧性/可复原性
data staging,数据集结
data wrangler,数据操作员
data-enriched documents,数据丰富的文档
database security programs,数据库安全程序
dated,过时
day extenders,在家加班/开夜车者
deals with poor performance,我的經理善于處理不佳业绩。
Debian testing made,Debian正在测试的
decisive dialogues,达成决定的对话
decked-out,高配置的
declarative validation,宣告式验证
Declaring an inflection point is a major claim,拐点的定义 … 是个需要着重思考的问题 …
dedicated delivery,指定运送服务
"deep, true black colors",纯正的深黑色
defends,维护
defining the business terms,确定/定义业务术语
degraded performance,退化了的性能
degrading,弱化
delegate access,授权访问
deliver it statically,静态分发
delivery system,医疗集团/机构/系统
dematurity,更新换代 / 更生
dense-interrogator channelized signaling,密集询问机信道发信
departmental queuing,呼叫等待
deployed web infrastructure out of public clouds,利用公共云部署网络基础设施
deprecated interfaces,被废弃的接口
deputy chief and commanding officer,副局长兼技术和系统主管
deputy county administrator,县副行政官
Deputy U.S. Marshal,美国执行法警
derivative works,衍生作品/著作
design assumptions,设计假定
desktop applications,桌面应用程序
desktop persona,自定义桌面
detect evasions,检测出规避手段/隐藏威胁
"detecting, proving and framing the charge",侦查、取证和起诉/提起诉讼
Detective Inspector,̽Ա
determine role-based access,确定基于角色的访问权
development contributions,为(Linux)开发做出贡献
develops this premise,阐明此前提
deviations of price from value will be arbitraged,套利交易将消除价格对价值的偏离
device onboarding; device provisioning,设备接入 (in some circumstances)，设备配置
Dewey Decimal library file system,使用杜威十进分类法的卡片式目录
DHTML box model,DHTML盒模型
dialed back,减少了
Dialog Box Launcher,对话框启动器
dictation,语音输入
didn’t get the memo,所知甚少
differences in assumptions,预期销售额间的差异
different takes on the same gamble,为同一目标采用了不同的方法/手段
digested,处理
digital readout with a segmented display,七段显示器
dilettante hackers,业余/初级黑客
direct spin-off,直接来源于
directory index,目录索引
Disable and Add Exclusions to Windows Firewall,在Windows 防火墙中禁用与添加例外
DISCIPLINE,方法/准则
disciplined,自觉
disciplines and processes,规章和流程
disclaimer,免责声明
disclaimer,免责声明
discovery,寻找
disembodiment of the PC,PC 的解体
downloadable applications execution,可下载应用程序的执行
drag in a ton of dependencies,引入繁多的文件依赖性
drawers,抽屉
drawing canvas,画布；画板
drive cages,驱动器托架
economics business-driven,商業經濟掛帥的
economywide risk,经济风险
editing the frequencies down to a limited bandwidth,（把声音）频率编辑压缩成有限的带宽
Editor’s Desk,编者按
editorial-mix,编辑内容的组合/搭配
effective and efficient,卓有成效的
dismissed,不考慮
drive out,建立/构建
drive several small vehicles through,把几辆小型车开过去
drive through this transition process,完成该迁移过程
drive towards a next day settlement cycle (T+1),推行次日清算制度（T+1）
Drive-By Downloads,随看随下 / 路径下载
drives,推动／促成
driving discontinuity,带来了（技术的）不连续性； 推动了（技术的）不连续性
drones,僵尸计算机
drop a payload that follows the call,记录数据后跟踪电话的传递
Drop in the Box (DIB),预装软件系统/预装软件计算机（服务器）/软硬件一体交付
drop-in development tools,嵌入式开发工具
drop-in installation,嵌入式安装
drop-in replacement,完全可取代（微软的两种服务器系统）
dropouts,掉线
effective software license position,有效许可状况
effects shots,特效镜头
electro-mechanical failures,机电故障
elegantly,巧妙地
elements,（组成）部分
"Eleven buttons grace the back, including one for movie recording.",11个按钮在该产品背面锦上添花，包括一个用于录下影视内容。
eliminate the server metaphor,淘汰/摒弃了服务器这一概念
email outlines,电子邮件模板
embodied energy,隐含能耗/能量
emerged within about a year of each other,前后出现相差约一年
emergency room,紧急事务处理中心/应急中心
emergency U.S. rate cut,紧急下调利率
emotional,感性的
employee directories,员工目录（员工簿/花名册）
employment number,员工编号
dispatch call,分派调用
Dissolvable Agent,一次性代理
distinguish between,区分
distribute Qt binaries with your application,Qt二进制代码（就无需）随同应用程序一起分发
distributed the survey globally,在全球范围分发
distribution,分散
distribution and marketing,分销和营销
distribution switch layer,分布交换机层
dithering artifacts,抖动的假影
diverse in its makeup,成员组成具多样性
divide things down the middle,从中间分开/一分为二
dropped sb in the pooh,将......的原因归咎于
dropping strokes,按键无效
drops,降低
drops out of site,中途退出
drpouts,信号丢失
dubious assumptions,不确定的假设
dummy,哑数据
dump,转出/导出
duplication tower,复制塔
During the sell cycle,销售周期(从发现商机到最后签约这一时间段)
Dynamic breadcrumb,动态面包屑型 (网站架构)
dynamic product framing,动态产品展示
empower,实现
empowered,更有影响力的
empty,清空
emulate expanded memory in extended memory,在扩展内存中模拟扩充内存
enable,实现/赋予
enabler,推动者，推动因素
enables creative expression,让人能够表达有创意的见解/想法
enabling a virtual presence using an integrated graphical console ......,通过集成的图形控制台实现虚拟亲临
enabling everyday workers to Tweet and Facebook colleagues,使普通员工可以通过Tweet和Facebook与同事联系
Enabling Technologies Enterprise,支撑技术企业
engage,吸引
"Engage people past the \""gate\"" in change",使通过“门关”的人们积极参与到变革中来
engage the owners of the intellectual property with a demand,公开让知识产权拥有者接受其要求并认为......
engagements,业务（往来）
Engineered Database Systems,集成数据库系统
engineering,应用性的
enjoy an almost virus-like popularity,几乎像病毒一样流行/人气旺
enjoys a most ethereal soundstage,营造出极其飘渺的音场
enjoys the highest rates of XX technology deployment,技术的部署率最高
enter policies,输入策略
enterprise class behaviour,企业级特性/功能
Enterprise Desktop Competency,企业桌面能力计划
enterprise features module,企业功能模块
enterprise mashups,企业版混搭（程式/程序）
entry,词条
entry force all,強迫所有內容放置
Equalizes personalities,实现人人平等
divided over....with,將...除以...
do not ... because...,你不会为没有传统的导航而感到惋惜，因为你直接进入内容
do not run more than,只运行
do our cable management overhead,在顶上进行电缆管理
do this any other way,以任何其他方式做这个
document messaging,文档消息（推荐）、文档消息传递
Document Profiling,文档剖析
documented services,登记在册服务
documenting,详细了解
doesn't measure up to the hype,（但SSD的性能）不如宣传的那样好
doing it,检查更新
doing things right,如无意外的话
doing very well thank you very much,而且非常好用，就不劳Android再费心了
domain,领域
domain expertise,领域专门知识
domain solution,针对特定领域的解决方案
don't do everything they need to do,并非每件需要做的事都做
dynamically upgradeable,可自動升級的
dynamics,动态分布
e-mail invites,电子邮件邀请函
e-mail threads,电子邮件线程
each,each solution
Each having common group say ‘acl’.,同属 'acl' 用户组
enclosure,外壳
Enclosure affinity,机箱亲缘性
encodes,表明/意味着
end state,最终状态
end state,终极状态
end-to-end,彻底
end-use energy,终端能源
Energy grids,电网
enforcing,实施安全要求
equipment maintenance variability,设备维护的易变性/不稳定性
equivalents,类似的服务
errant programs,游离(隐藏)的恶意软件
escalation,不断发展
escalation path,上报路径
establish a session（IT）,建立话路/会话
established its baseline importance,确认根本的重要性
establishments,分支机构
Ethernet never presupposed what sort of medium the data would travel over,以太网从来没有规定传输数据的介质
Even if it does map the minutiae points itself,即使它会绘制(指纹)细节点
even our technology is overloaded by our technology,连我们的技术也无法应对自身带来的信息过载问题
even without the criminals to contend with,即使是在没有罪犯可抓的情况下亦如此
events staff,活动组织人员/赛事工作人员
evergreen tags,常用标签/标记
"everything from the replication, management, protection groups",关于…和保护组…的所有操作
everything in between,其他有关一切
evidence,实证
donations should be lavished on Intel shares,捐赠可通过慷慨购买Intel股票
don’t follow a line that stands out in the photo,不要沿着照片中那显眼的线条设定手势
Don’t let your head swell too much,不要太得意
Done in by the weaponisation of optimisation,死于优化机制（漏洞/武器化）带来的恶果
dongle,（汽车用）电子控锁
"don\'t be mean about Moby, dicks",别那么刻薄地说Moby啦，傻瓜
doorstop,门阻器
DoS yourself,Actually it is 'Decline of Service'
dot zero,主要版本
dotted-line responsibility,间接报告责任
Double-bit key 3,3号双头钥匙
exception,排拒
exchange data for transactions,交换事务数据
executions,表现/演绎
executive buy-in,说服管理层
executive director and CTO in IS at Northeastern University in Boston,波士顿东北大学的常务院长兼信息服务部首席技术官
executive power broker,高级管理层(高管)的权力经纪人
each vendor engagement,每份供应商合约
early access snapshots,预览版
Easy Transfer cable,轻松传送电缆
evidence in plain view,直观证据
Evil Twin,双面恶魔
eviscerate,摧毁
evocative,生动形象的
Exam Replay,考试回放
examining overnight and weekend building air conditioning practices,了解大楼里空调系统夜间和周末运行的惯例/规律
exert control out on the edge of digital marketing,CIO 们一旦尝试逾越本职、试图染指数字营销的优势所在
exhaust temperatures,排气温度
explicitly engineered,（所有 app 将具有）清晰明确的设计
Explorer Bar,浏览条 / 浏览栏
export,导出
Expose,公开
expose,feature
exposed inputs and outputs,外露的输入和输出端口
exposes,突出显示
exposure,接触机会
exposure gap,暴露期/暴露间隔
extend that eye-catching colour-scheme,让本已引人关注的机箱色彩更加耀眼
extended,扩展
falling into place,"依序出现,依序排列"
Family Roadtrip,合家欢公路之旅
extended battery,扩充电池
extending,延续
extensionless URL,无扩展名URL
External Bits,外部组件
External Facing and E-Business Web Application/Sites,对外的以及电子商务的网络应用程序或网站
External sourcing of storage,存储外包
externalize,体现/表现出来
flush,清空
flush it out with frequent use,频繁使用也不会冲掉（它）
Focused Window,当前窗口/正在浏览的窗口
focusing on,查询、了解
Famous Writers’ Cosmo Tips,名作家的《大都会》小贴士
Fancy directory listings,详细目录列(表)
Farm Credit Services,农业信贷服务社
farm security,(服務器農場/服務器群)安全
fat connection,胖连接
favorite-apps ring,常用程序旋转菜单
feasibly challenge,可以实际挑战
feature 250V functional isolation from your PC and a low-profile package that fi,配备与PC隔离功能的250伏隔离器和安装于笔记本电脑底部的矮底座
feature enhancements,功能增强组件
feature phones,多功能手机
feature-length movies,长篇电影
federal sentencing guidelines,联邦判决指导方针
feed in,引入
feel vulnerable,感觉软弱无能
externalize a service bus,对外提供一种服务总线
extra,另外收费
Extreme,极限级
行次,line code or line sequence
请教 intellectual enterprises 应该怎么翻译？,学术/知识 企业
转型,transformation
fabric,FYI
fabric,架构
fabric link,结构线路
follow,并不因此说
followed,后面跟有/连有
followed,使用、点按
footprint,行业覆盖范围
for,针对---；旨在----
for,尽管
for a constituency,一群人/一类人
for context and ease of interpretation,用于上下文分析并易于解析
for infinity,代表无限大的INF值
for its internal equivalent of a CVE,在其“通用漏洞披露”内部版中
For perspective,具体来说
for protection from noise corruption,防止噪声干扰
For the initiated,对于入门者/初学者
force multiplier,警力增援器
foreground pop,前景突出
foreign keyboard,外文键盘
foreign ownership of the national debt,外资拥有国债
forensic reporting,取证报告
Fidelity Federal Bank and Trust,富达联邦信托银行
field office,地方办事处
Field suppression,字段取消
fiercely competitive prices that are enabled with industry-standard technologies,技术符合行业标准，价格最具竞争力。
file agnostic,不辨文件型态的
filling up your iPad,为iPad装载内容
financial modeling and rendering 财务建模和____,绘制
financials,财务管理软件
find a spot of calm amidst the storm of activity surrounding SOA,找到一个受SOA影响最小之处。
Find as many ways as possible,尽最大努力/通过各种可能的途径/尽可能地
Firefox Extension Backup Extension,Firefox扩展备份工具
Firewire device,FireWire设备；FireWire装置；
Fix Pictures in Position,将图片的位置固定
fix-and-repair services,维修服务
flaky,不可靠的;不穩定的
flared-serif face,扩口式衬线字体
flash,刷新
Flash drive,随身碟
facilitate,帮助
factory floor manager,厂区经理
Fail on Fault,有錯即停
FAIS (Fabric Application Interface Standard),結構應用介面標準
falling back to,缩回/退守
forensics services,司法鉴定服务
forms,表单
fragmented,分散的
franchise,特许经营权
franchise-license sales,特许经营销售
free up credit,放宽信贷
freed DSL providers from sharing,2
freeload on,免费使用/免费搭载
front to back,从头到尾
front-facing applications,前端应用（软件）
frozen in place,原地不动
full citizens of the language,可整体搬用于这种语言
full package,整套的服务
full-blown objects,完全成熟的对象
full-bore,完整的
full-on,(Varies with context) 全功能的、全面的、功能齊全的
full-scale,大型软件
full-strength,全剂量
flatten the cost curve,使成本曲线变平
fleet management,车队/船队管理
fleshing out,增加功用
flight check,印前检查
Flow padding,流量填充
fluff,创意
fully committed,全面承诺的/充分承诺的
fully formed,完整的
fully immersed in risk,面临大量风险
fully loaded,满负荷运转
functional,函数式的
gadget dock,小工具栏
gain insights,深入了解
gaining speed resulting from multi-cloud practices,由于多个云环境的使用而提速
gaining the advantage of,(还)拥有标准化这一优势
game,钻空子
game pad,游戏控制面板
game-changing,改变行业面貌的
games as art,虽然我认为游戏是一门艺术，但是集训的目的并不在于培养艺术家
Gaming for the enterprise,企业游戏化
gathers pace,步伐加快，加速
gem,gem
general manager,总干事
general managers,主管
General Resolution,一般决议
geometry instancing,几何实例
get 3D content channels in their Smart TV features,以使用户可以利用其智能电视功能观看3D内容频道
Get Around,玩转
get back into the game,同样可实现远程操作
get in front of this issue,未雨绸缪
get in over their heads,束手无策
get me started on,（别）提了
gives you the percentage remaining for,能为你提供...的剩余百分数
giving them a stake in the IT business,让他们在信息技术行业有立足之地
glass house,玻璃屋
glass-lined booth,玻璃隔间/玻璃监控室
Global Action List,全局操作列表
Global Client load,在 Global Client 套装软件里的网络服务和通讯协议
get much more of it back,此技术能大致再现其行程
get my toes bit,（不要）被宠物犬咬了自己脚趾
get on,（着手）处理
get rid of the bulk,舍弃了大部分（使用不多的功能）
get the hook out,放弃
get the vote out,拉票
get their minds around,搞清楚/弄明白
get those files out,打开那些文件
get with,关注并改进
Getting around and extracting text,搜寻定位并提取文本
getting it right,不出问题
getting more options for the platform you choose,选中的平台之下还有更多（需要做出）的选择
getting on board with,采用
give or take,大致
global data center delivery manager,全球数据中心服务交付经理
global electronics strategist,全球电子产品策划师
global knowledge pool,全球知识库
"global technology, service and fulfillment",全球技术、服务和执行主管
global visible commerce solutions,全局可视商务解决方案
global-class,世界级的
glory in the names,（带讥讽）出了大名/名声显赫
go all out with,花大价钱购买
"go big, go fast, go deep, go cheap and go mobile",更大规模、更快、更深入、更低成本、涵盖移动应用
held his financial success against him,因为他在经济上的成功而批评他。
Help desk,服务台/支援中心/服務平台
help desk,帮助台
go end to end,实现端到端机制
go through checkout,结账
go to,去 or 到
goes into good policing,警务管理中得到很好的应用
going some way toward,在...方面取得一些进展
going through hell and high water,坚持过了困境
Gold 5-Star Overall Winner,金牌五星级总冠军
gone haywire,发了疯似地
google inception architecture,Google的Inception架构
gorilla arm effect,大猩猩臂效应
Help Desk Institute,帮助台协会
help it,虚词
help tickets,求助单
hide the broadcast of its name,隐藏名字以免广播
High Impact,有着震撼的视觉效果的/极具视觉冲击力的
High Level Shader Language,高级着色语言
got flatter,扁平化
got the business on the same page about,达成一致意见
gradient paint,渐变颜料
granular access control,细粒度访问控制
granular historical data,细粒度历史数据
granular metrics,粒度测量
Graphical network maps,图形化的网络架构图
Greenfield deployments,新区部署/实施
grid,网格视图
grid,网格
grids of data,数据网格
guitar tab music,吉他谱
hack approach,捷径/手段
hacked together netassert,拼凑了netassert
hackers and crackers,黑客与骇客
had it with Android,受够了android
had its day in court,出庭应诉/官司缠身
had results about even with Docker use case,(GVisor的)最佳结果和Docker用例不相上下
halfway across the country,橫跨全國一半的距離
hand geometry,手型/掌型
hand out,提交
High Volume,高容量应用
group dimension,组合维度
group line of sight,集体共同可见度
group that the ones that Apache uses,different user and group than the ones that Apache uses
guard,changing of the guard = 换班
hangs in Lenovo’s acquisition limbo,坚持度过联想收购摩托罗拉移动的不安定期
hard,硬(实时)
hardly,也不算绝对简单 or 也不是毫无困难
Hardware Extensions for Software Parallelism,支持软件并行处理的硬件扩展
hardware liberation,硬件解放/硬件独立
hardwiring...into...,以硬接线的方式连接到
harnessing my inner photographer,发挥摄影灵感
has more up its sleeve than helping,不仅仅是帮助。。。，而是做得更多。
has the widest memory footprint,可以支持的内存空间最大
hash of the string,字符串散列/混编
Hauppauge,哈帕克（Hauppauge）
high-assurance,高保障；（让人）高度放心
high-def programs,高清晰度节目
high-impact,高品质的
high-level,高层次的
high-level play,高级玩法
high-level reference,高级(深入)参考资料
high-tier......lower-tier,高阶...... 较低阶
high-value,高价值
have a satisfying click to them,点击起来很惬意
have got to go,应消除
have in the area of,大约有
have their man in Katayama,（逮捕）katayama找对了人
have two things,包括两个部分
having a different conversation,此刻探讨的内容便会截然不同
having Web servers default to,使Web服务器默认设置为
He doesn't have an overall average of the improvement.,他不知道这次改进总体上平均提高了多少效率。
head shakes about,摇头感叹
high-volume capabilities,大批量制造能力（视上下文而定）
high-volume Intel chips,大批量的英特尔芯片
high-volume phone manufacturer,高产量的手机制造商
higher-level,更高层面的
highest revenue to enterprise value sale,年收入对市值之比
"highly efficient usage, severe requirement spikes","高的使用效率,严重的需求尖锋"
head to head comparison,大比拼/逐一比较
header and footer,页眉和页脚
headless application,无头的应用程序
Headroom,头空间
health claims clearinghouses,医疗保险票据交换所
heavy,主要负责
heavy,庞大
heavy-duty,功能强大的
heavy-hitting power,重要功能/亮点
hedged on using,闪烁其词
highly stylized cop shows,老套的警匪片
history,发甶过祘/发甶历
Hit the sweet spot,击中要害/恰到好处／一矢中的
hitting,访问
hitting back,按“返回”键
hitting rock bottom,遇到最坏的情况
HMI；Nomadic and embedded systems,人机界面(HMI); 移动式(游牧)和嵌入式系统
hodl,= hold
hold up their end of the bargain,履行约定的承諾
home run cables,直通/直连电缆
homeroomed,参加碰头会
in the way,在...的方式上
In top(1),Most likely means the Unix/Linux command 'top'
honor,允许
Honors Laureate,桂冠荣誉
hooked,被钩住/被操控
Horizontal Attack Profile (HAP),横向攻击剖面/视图
hot buttons,（关注的）热门话题
hotel folio,酒店账单
how much you get it,见解有多深
However small the capital,不论（来自众筹的）资本数额多小
hub and spoke failover,星型网络/中心辐射型网络失效转移
hub transport,集中传输
human ambassadors,客服专员
Human Condition,人性
Hype Cycle,炒作周期
I see no scenarios under which,我不能设想会出现以下情况：
I suspect through all this,尽管如此，我推测...
I wouldn’t nail the coffin shut on Google+ yet.,我感觉Google+也许还有一线生机
I’m by myself,我一个人工作
ID badges,身份证卡
identifies you by name,直呼其名
In true sound bite mode,一言蔽之
in what is called the Service Oriented Enterprise (SOE),使用了面向服务架构的企业
In your project select Web References in Solution Explorer,FYI
In-line encryption,在线加密
in-row units,并排式冷却装置
in-scope systems,监控范围内的系统
In-service priority register,服务中优先级寄存器
inbound connection,接入连结
Inbound Marketing,入式营销
Include global DNS providers,包括全球DNS提供商
incorporates,使具体化/体现
increased cost and operational savings,节约更多的成本和运营支出
incriminating files,作为罪证的文件
index of functions,功能索引
index sheet,索引页
individualized suspicion,针对某个人的怀疑
industry bar,行业标竿
hosted,托管
ideologically motivated,受意识形态驱使/驱动的
iDevices,i设备
If,如果
If it gets implied,如果它（KKR）得到暗示性的...
If nothing else,暂且不说别的/别的不说
if so configured by the Hybrid-VPN Gateway,如果通过Hybrid-VPN Gateway进行配置
Industry Outreach,行业交流
Industry Recognition Awards,业界成就奖
industry-defining,引领行业发展的
Infectious,风靡／流行的
information in the moment,即时信息
Information Only,仅供参考
informed,可靠的
infused,被灌输/吸收
initiatives marketing,计划推广
Inline blocking,嵌入式阻塞
inline search,内嵌式搜索
insights,隐含信息
institutional knowledge,机构性专业经验累积知识
Institutionalizing,规范
institutions,社会制度
insto-presto,实时即时的
instrumentation,控制
if that’s where you’re at,如果这是你现在面对的情况
"If you ain't cheatin', you ain't tryin'",如果你没在作弊，说明没有在尽力
if you're paying for a second line for it,如果传真机另占一条电话线的话，你完全可以把它拔下来，顺便每月省点电话费
If you're posting about your job or employer without consent,如果你未经同意就披露有关你的工作或雇主的信息
If you’re in a warehouse pushing out paper，,如果你的工作是在库房里处理文件报表，
image,镜像
image identity,镜像标识
implementation,实现/实现技术
implementing those idiosyncrasies,实施那些特定流程
improve time-to-customer production performance,改善向顾客交货时间的生产业绩/表现
in,在...中
In a less linear example,一个没那么直接的例子
in a rearview-mirror perspective,回过头看
instrumentation,检测工具
instruments,管理机制
insulate it,保护它免受伤害
integrate,集...于一体
in modular units,which are in modular units
in scaled 3D,以缩放的/成比例的3D
in the best of all worlds,在最完善的情况之下
in the form of the IT department down the hall,自己的IT部门
in the good times,在关系的蜜月期/在关系好的时候/在关系顺利时/在好时候
in the spirit of ....,本着....的精神
integrated services,综合/集成服务
integrity right,完整性权利
Intelligence,信息
intelligence community,情报界
Inter-Pixel Gap,像素间隙
interact with resources,形成（/建立）资源的双向互动
interacting with,实现数据的交互和存储
intercompany accounting,公司間會計
interface,界面
interface,FYI
interface into,关键接口
interfaced to,基于……接口开发
intermediate the latency,缩短延迟
internal options to public cloud providers,替代公共云提供商的内部可选方案
International Executive Service Corps,国际经理人服务团/组织
Internet kiosk,Internet 信息站
Internet-scale Distributed Computing,互联网分布式计算
Interuniversity Microelectronics Center,校际微电子（研究）中心
InupiaqaIK,因纽皮特语
inventory consignment,库存寄售
investor calls,投资者电话
IP Group Membership Protocol,IP组成员协议
irritates,有刺激性
is back with,再度归来
is not noted for hyperbole,并不长于用语夸张。
"is often couched in obtuse, hard-to-read legal disclaimers.",隐含在晦涩难懂的免责条款中
ISLAMIC CULTURE - SITE TO BE CONSTRUCTED,伊斯兰文化(网站待建)
isolated to User Mode,局限于用户模式
it,最酷的
it,chat room
it,Refer to icon
It,倒装指代
it can work together,可以同时运行
it doesn't require cameras to support motion detection,无需摄像机支持运动检测
IT inventory,IT资源目录/清单
it is logged in and rated,入账并确定运费
It is on this frontier border,正是在这个前沿领域，……
it isn't yet sold on the cost benefits,"出于成本收益率考虑,这个建议还没有被采纳"
It must remain useful,它还得管用
IT project evangelists,项目倡导者
IT really can be that,IT其实可以成为业务伙伴
it should purge after 10 years and one day,数据应在十年以后一天内全部清除
it's an odd duck,这事一定很罕见/古怪。
It's clever tongue-in-cheek fun,聪明俏皮的玩笑
It's more a social exercise in organizational dynamics.,这更是组织动态学上的一种社会实践/活动
IT-related branches of a value tree,价值驱动树的IT相关分支
it’ll be on to the next thing.,这就引出下一个问题
it’s Android or nothing.,（基于 Android Beam 的 NFC 文件传输）目前仅限 Android 设备。
It’s not IT calling IT,不是IT人员打电话咨询IT人员
its inclusion through the application environment,融入应用环境所需的
its principles of scaling out and designing to fail,向外扩展和容错设计的原则
It\'s good for our set of tricks,它对付我们的这套手段效果蛮好
JBOD,"""简单磁盘捆绑"""
Johnny,不是 Hadoop 的后来者
JPEG,聯合圖像專家小組規範
jumbo frame size packets,巨帧数据包；超大帧数据包
jump host,跳板机
jump through legal hoops to get permission for it,[商业用户]必须办理各种法律手续才可以获得使用（这种软件的）许可
jurisdictions,政府
justification comes from smarter IT-resource management,因此只有更具智慧的IT资源管理才站得住脚/才合理.
justify the cost,堪所費
Kapolei,卡帕雷
keep their internal pipelines primed with instructions to obey,保持其内部管道充满等待执行的指令
keep Wall Street at bay,而不通过华尔街募集资金
keeping grade books,记录成绩
keeping up with,跟踪
key,图例
key fob,钥匙坠大小的存储器
